Unnamed: 0,speaker,sentence,dialect,dialect_norm
d1207-u1653,FKon1207,de isch nachher schuelinschpäggter woorde,GL (Näfels),OT
d1163-u109,CJea1295,füerer gsii z aarau,AG (Buchs/Zofingen),OT
swissdial,1706,de jan esch onveränderet vorem wöschbecki gstande.,ch_ag,OT
swissdial,9286,au im urbana gebiat wachsen in jedera ecka pflanza.,ch_gr,OT
d1207-u2359,FKon1207,die hetteds also nǜd rächt gchaa,GL (Näfels),OT
d1163-u1373,CJea1295,wohäär hätte mer de d arbet süsch übercho,AG (Buchs/Zofingen),OT
d1198_2-u24,TJos1198,bigriifflich,SG (Brütten ZH/Zuozwil),OT
swissdial,2591,"breng d'hex eifach om ond mach das schnäll, het sie gseit.",ch_ag,OT
swissdial,9577,es isch nit ds ersta mol dass sich d kunda verrota fühlen.,ch_gr,OT
d1147-u2766,HJak1147,aber dèn ìsch ebe loosggange so wie gòòts wiiter,AG (Baden),OT
d1053-u1031,OJos1053,mee mit äbe wenn me im doorf gsi isch de,NW (Wolfenschiessen),OT
d1259-u2387,MEdu1259,in fischp glaub oder nöimet i dä gegend vo fischp wonner woont no dä waldi,AG (Full-Reuenthal),OT
swissdial,2116,"asiatu heige en andre umgang mit digitalu date wa wier in europa, erklärt der remo burkhardt.",ch_vs,OT
swissdial,1739,"z'ganz gschnurr über ihrusch müetter wiehlt dich vermüetli üf, het d'vicki wohlwellund formuliert.",ch_vs,OT
d1248-u3099,VPet1248,dennä denn isch denn,AG (Baden/Brugg),OT
swissdial,1609,"de fc luzern, zum erschte mol ohni de christian schneuwly, het sich au im rückspiel gege de klaksvik üsserscht schwer tue.",ch_sg,OT
d1248-u3015,VPet1248,diä het,AG (Baden/Brugg),OT
swissdial,4080,"usserdem het sie gsangsunterricht bi ihrera gotta gnoh, nera ehemoliga backgroundsängerin vu marvin gaye.",ch_gr,OT
d1073-u1448,CJea1295,ganz würklich,AG (Buchs/Zofingen),OT
swissdial,696,de aueschotzpark esch dor en volksabstemmig 1993 entstande.,ch_ag,OT
d1205-u1404,NThe1205,und wenner da zuegmacht het hetemer möse verhungere es het ainfach nöd glanget drum het me sich immer e chli möse noch de teki schtreke,SH (Ramsen),OT
d1295-u1119,CJea1295,hät numä dä name chönne rüäfe und s andere,AG (Buchs/Zofingen),OT
d1259-u1881,MEdu1259,deet oder häts bi öis do as land gschwämmt,AG (Full-Reuenthal),OT
d1053-u1040,OJos1053,d cholen isch afe am uisgaa gsi,NW (Wolfenschiessen),OT
d1007-u782,EJos1007,het dää iis prichtet sellemer choo münchen aaluege de isch de de ander gfaare,NW (Stans),OT
d1063-u777,HEll1063,ìch han aifach gscha,AG (Baden),OT
d1147-u1660,HJak1147,ùnd ììch dò dòò an boden abe luege,AG (Baden),OT
d1259-u1489,MEdu1259,dä puur und dä chnächt händ gwartet bis dä cho isch und dänn hät de chnächt,AG (Full-Reuenthal),OT
swissdial,1020,insgesamt sechst amtsinhaber vu zwei parteia hend sitdem das amt inne kah.,ch_gr,OT
swissdial,305,schwizer stil met schnezereie am dachbalke.,ch_ag,OT
d1147-u2844,HJak1147,hani chöne,AG (Baden),OT
d1147-u951,HJak1147,de bin ìch dèn dezue choo,AG (Baden),OT
d1048-u492,WRos1048,in e sone form inetue dee dert dure,GL (Enneda),OT
d1259-u1422,MEdu1259,gha wer da vo öis do debi ggsii seg as do,AG (Full-Reuenthal),OT
swissdial,4955,immerhii het er kei neuerlichi hirnerschütterig erlitta.,ch_gr,OT
swissdial,6180,so bini denn jeda tag bi niedrigem wasser an bord ganga und han mer de und jena gegastand überagschafft.,ch_gr,OT
d1295-u1400,CJea1295,ich verschto das au nöd dä hütigi,AG (Buchs/Zofingen),OT
d1295-u524,CJea1295,äs hät au äs hät de vortail gha äs hät kaini dike lüüt me gha,AG (Buchs/Zofingen),OT
d1048-u26,WRos1048,häuptwiil gchaa händ aber,GL (Enneda),OT
d1209-u266,BHan1209,wo eersch het dörffe töffnet,SZ (Schwyz),OT
d1147-u2568,HJak1147,ùnd dèn nachhèr han ìch bìss tuusig lüt komandiirt,AG (Baden),OT
d1073-u1317,CJea1295,si häi dö̀rffe goo,AG (Buchs/Zofingen),OT
swissdial,269,"z'bekannteschti bispiel isch z'sozialkredit-syschtem, wa z'china erprobt wird.",ch_vs,OT
swissdial,903,iner afangschzit isch d'abgränzig gägu homebanking nit ditli gsi.,ch_vs,OT
d1255-u395,GAlo1255,dr floorian isch der im militäär gsi,UR (Göschener Alp),OT
d1207-u7,FKon1207,da sch under em chlooschter,GL (Näfels),OT
d1163-u278,CJea1295,obwool d mueter dehäime gsäit het,AG (Buchs/Zofingen),OT
swissdial,7082,dia individuell integrationsplanig isch grundlag für a zielgrichteti und erfolgrichi integration.,ch_gr,OT
d1073-u337,CJea1295,und wen er nüm dehäim ìsch,AG (Buchs/Zofingen),OT
d1205-u535,NThe1205,drum hät men äigelich gar nie gwüsst wie grauehaft dass zue got zum bischpil,SH (Ramsen),OT
d1053-u305,OJos1053,anke hät me chenne verchöife i de leite,NW (Wolfenschiessen),OT
swissdial,683,zecke gits inzwüsche überall.,ch_sg,OT
swissdial,4624,sit dr umgstaltig wird dr fründeskreis öfter im programm vu 1 live integriart.,ch_gr,OT
swissdial,9837,"so het er drfür gsort, dass dr parteipräsident konrad kanghart noch da wahlverlust im früahlig zrucktretta müassa het.",ch_gr,OT
swissdial,5901,werbeagentur und kund sind bim dreh awesend zum d ileitig vu da beuftreita vorgaba z überwacha.,ch_gr,OT
d1007-u991,EJos1007,z uffhuise isch das gsii im kanton luzäärn,NW (Stans),OT
d1163-u2790,CJea1295,joo het doch schpillt doch kä role het da ned verschtande,AG (Buchs/Zofingen),OT
d1255-u880,GAlo1255,die isch da im underdörfli gsi und der e*** het di gha,UR (Göschener Alp),OT
d1248-u459,VPet1248,und dä hät mini muetr,AG (Baden/Brugg),OT
swissdial,3112,ds werk in shanghai konzentriart sich uf dia ganz klina spuala.,ch_gr,OT
d1259-u1284,MEdu1259,und so hämmir das do scho gmacht,AG (Full-Reuenthal),OT
d1255-u121,GAlo1255,hen das händ das im summer alles inne trääit,UR (Göschener Alp),OT
d1207-u1315,FKon1207,hät mer chènne schǜǜ zueluege abedraa ob losan,GL (Näfels),OT
d1248-u1640,VPet1248,da isch s privileg vo nur vo ganz riiche lüt ggsii,AG (Baden/Brugg),OT
d1248-u2885,VPet1248,jo aso,AG (Baden/Brugg),OT
d1075-u856,CJea1295,zwüsched dr schwiz ùnd riechen ùnd baasel nìt,AG (Buchs/Zofingen),OT
d1147-u2785,HJak1147,schtüütsch,AG (Baden),OT
d1198_1-u1846,TJos1198,ales andersch ggsii,SG (Brütten ZH/Zuozwil),OT
swissdial,2069,si het au vo de eth intensivi vobindige zur wirtschaft hergstellt.,ch_sg,OT
d1248-u298,VPet1248,händ sii au scho probiert,AG (Baden/Brugg),OT
swissdial,1459,"dodebi drängi d'zit, warnt de thomas hale, renommierte politolog ade universität oxford.",ch_ag,OT
swissdial,8873,im aschluss het d kantonspolizei ds tota tiar borga.,ch_gr,OT
swissdial,5450,d elisabeth het abermols grausam reagiart und het mehreri persona noch sibiria verbanna loh.,ch_gr,OT
d1053-u992,OJos1053,vermuetlich sind die aifach öpe im kanton öpen e schtiichprob gmacht alig,NW (Wolfenschiessen),OT
d1240-u36,RLin1240,mhmm ja,GR (Davos/Chur/ZH-Wittikon),OT
swissdial,1993,"dr alpinismus isch viel meh, als sich in da berga uusztoba, seit sac-präsidentin françoise jaquet im interview.",ch_gr,OT
d1295-u929,CJea1295,leerling,AG (Buchs/Zofingen),OT
swissdial,2574,"sie schupft d marsha dur d gegend, dia keit um und schloht mitem kopf geg en glastisch.",ch_gr,OT
swissdial,8646,"ma macht sich sorga über de abwärtstrend, wo jo au no anderi tiararta in afrika betrifft.",ch_gr,OT
d1048-u989,WRos1048,das ghäisse schmidruet chirchruet schlossruet det usse die händ ja seer,GL (Enneda),OT
swissdial,1706,der jan isch unverändrut vorum lavabo gstandu.,ch_vs,OT
d1198_1-u1270,TJos1198,falschirmjèger gsee abechoo he,SG (Brütten ZH/Zuozwil),OT
swissdial,1096,eschtricha uf trännschicht sind nit chraftschlüssig mit dum trägendu unergrund verbundu.,ch_vs,OT
swissdial,475,si gend zemme go zmörgele und treffed debii uf em huck sin vater.,ch_sg,OT
d1007-u849,EJos1007,zämepuije miteme therässli so,NW (Stans),OT
swissdial,1989,"und en büeb weiss jetz scho, dasser emal informatiker wellti wärdu.",ch_vs,OT
swissdial,6986,weder ds oberland no ds emmatal oder ds seeland könn uf ähnlichi privilegia zruckgrifa.,ch_gr,OT
d1259-u2030,MEdu1259,und dä waldi isch dinne ggsii und,AG (Full-Reuenthal),OT
swissdial,6423,"i han nämli au dr versuach denkt, us nem teil vu minera gersta malz z bereita und miar drus biar z braua.",ch_gr,OT
d1198_1-u1376,TJos1198,jòò wo die generaalwach choo sind da hèt jò immer e,SG (Brütten ZH/Zuozwil),OT
d1248-u2654,VPet1248,dass är,AG (Baden/Brugg),OT
d1212-u1213,MHan1212,wie seit mer daa däne eeine va pariis daa wa under de brigge isch wie seit merne,VS (Naters),OT
d1075-u654,CJea1295,es toodesuurtail in ameerikha wo jò vìl disgutiirt ìsch nìt,AG (Buchs/Zofingen),OT
d1209-u739,BHan1209,de ch mer hend im huus immer lüüt ghaa,SZ (Schwyz),OT
d1163-u3129,CJea1295,voll,AG (Buchs/Zofingen),OT
swissdial,2403,"erst wenner gnuag lärm gmacht het, isch er zfrieda gsi.",ch_gr,OT
swissdial,1441,uffam ganza westbalkan sind erneut nationalistischi tendenza spüarbar.,ch_gr,OT
d1163-u731,CJea1295,e gruppe müesse,AG (Buchs/Zofingen),OT
swissdial,6807,wia viel vermöga hen üssi arma richa das johr zuagleit?,ch_gr,OT
d1007-u888,EJos1007,ìch ha scho rächt guet chennen allerlai mache so d,NW (Stans),OT
swissdial,9891,vor ihrer ziit im bundeshuus het sie unter anderem als flugbegleiterin uf privat jets gschafft.,ch_gr,OT
d1048-u1421,WRos1048,das isch es türggemues,GL (Enneda),OT
swissdial,790,di markant erhöhti hüüfigkeit vo tuberkulose seg mitem sozioökonomische status und de lebensbedingige i de iirichtig vobunde.,ch_sg,OT
d1163-u1638,CJea1295,das isch doo mit em chaugummi,AG (Buchs/Zofingen),OT
swissdial,1699,i warta vor am tor.,ch_gr,OT
swissdial,2720,"so ischs eim gange, wenn me unbbetteni hilf abotte het.",ch_sg,OT
d1048-u404,WRos1048,di chliinere ùnd wù de,GL (Enneda),OT
swissdial,7533,sie verbindet d städt grosseto und siena und het a längi vu ca.,ch_gr,OT
swissdial,1381,dr bush het allerdings d wiederwahl im nögschta johr verlora.,ch_gr,OT
d1248-u393,VPet1248,zur grossmuetr zur,AG (Baden/Brugg),OT
d1198_1-u714,TJos1198,wider a gueti maschine ghaa,SG (Brütten ZH/Zuozwil),OT
d1147-u624,HJak1147,ùnd das sìnd fǜr mììch ainglìch truurige erläbnis ggsii,AG (Baden),OT
swissdial,9575,"mit zuanehmendem alter wirds immer schwieriger, nohzschlofa.",ch_gr,OT
d1063-u8,HEll1063,die händ gwont a im gschtüel dòò,AG (Baden),OT
d1007-u667,EJos1007,friener isch s no chli gsii di eltere hend noch chli schtolz gha,NW (Stans),OT
swissdial,348,"sie esch met volle militärische ehre emene private mausoleum in pittsburg, pennsylvnania bestattet worde.",ch_ag,OT
swissdial,3813,verglichbar öpa mit nem luusbuab und nera göra.,ch_gr,OT
d1295-u920,CJea1295,jedä nume no mit aim bai,AG (Buchs/Zofingen),OT
d1163-u563,CJea1295,da isch nur zum herabmindere vo de damaaligen armee,AG (Buchs/Zofingen),OT
d1207-u525,FKon1207,hüüsli won er dobe hät,GL (Näfels),OT
d1248-u2109,VPet1248,vo öisere familie,AG (Baden/Brugg),OT
swissdial,1978,werom kollabiert jetzt die gsamti ärdölproduktion?,ch_ag,OT
swissdial,1575,"und wills en uswahl bruchi, heg er sich etz doch zur vofüegig gstellt.",ch_sg,OT
d1147-u800,HJak1147,nò nò wòòrschiinli chönne flǜchte nìd,AG (Baden),OT
swissdial,7161,"immerhin wärs a teilschritt in richtig transparenz, wenn d spenda so deklariart würen.",ch_gr,OT
swissdial,4825,dia entscheidig isch aber nit ohni nebagrüüsch über d bühni ganga.,ch_gr,OT
d1255-u440,GAlo1255,das si no propleem gsi im winter wemmer chrank gsi isch aber mer het si dert inne,UR (Göschener Alp),OT
swissdial,2635,"einersits halte sie der scho en haftbefehl onter d'nase, wennd nome of d'stross speuzisch.",ch_ag,OT
d1063-u1546,HEll1063,der welt,AG (Baden),OT
d1147-u2667,HJak1147,alaarm gmacht nìd,AG (Baden),OT
d1207-u1879,FKon1207,i ds viert aakaa,GL (Näfels),OT
d1163-u678,CJea1295,der also de kompaniikomanda oder de der inschtrukter,AG (Buchs/Zofingen),OT
d1147-u2768,HJak1147,dèn händ si denn um um,AG (Baden),OT
d1295-u1286,CJea1295,das hät aim jo dänn tagelang verfolgt diä bilder,AG (Buchs/Zofingen),OT
swissdial,7315,am südwestlicha rand vum dunkelschlag liggt dia ehemolig zechasiedlig siedlig dunkelschlag.,ch_gr,OT
d1147-u1801,HJak1147,und de flausch hete,AG (Baden),OT
swissdial,4535,de film het wichtigi aregiga für d wiiterentwicklig vur theorie geh.,ch_gr,OT
d1209-u705,BHan1209,vo der,SZ (Schwyz),OT
swissdial,4515,noch am abwäscha werden dia tröchneta pfanna mit olivanöl iigrieba.,ch_gr,OT
d1248-u537,VPet1248,diä händ dass,AG (Baden/Brugg),OT
d1163-u501,CJea1295,wo debii gsi sind,AG (Buchs/Zofingen),OT
d1248-u419,VPet1248,gschäftsvorschlääg gmacht und,AG (Baden/Brugg),OT
d1163-u173,CJea1295,kes theema gsi,AG (Buchs/Zofingen),OT
swissdial,7926,"und i glauba, das isch am architekt au würkli glunga.",ch_gr,OT
d1248-u266,VPet1248,flugzüüg,AG (Baden/Brugg),OT
d1007-u329,EJos1007,und d schue hend si sälber puzt und soo,NW (Stans),OT
d1007-u495,EJos1007,zum kafé und die leereri dezue die schniideri,NW (Stans),OT
d1007-u243,EJos1007,de isch immer mi maa det gsii und de de bek bringt lòüffend grossi chueche so rundi blääch,NW (Stans),OT
swissdial,159,bim milliarduprojekt zeichnut schich es klars nei ab.,ch_vs,OT
d1205-u376,NThe1205,militärarchiiv ggöffnet worde sind isch jo tatsächlich au en überfallplan uf d schwiiz zum vorschi cho,SH (Ramsen),OT
swissdial,1268,"wie wänd die das schaffe, grossi abieter wie netflix z'verpflechte, dass sie öpiis a ""schelleursli"" zahle.",ch_ag,OT
d1163-u2674,CJea1295,innerlech e gsi wäär,AG (Buchs/Zofingen),OT
d1007-u500,EJos1007,isch sibe jaar elter dä,NW (Stans),OT
swissdial,10064,im rahma vum festival zeiträume in awesaheit vum bundesrot alain berset im kunstmuseum statt.,ch_gr,OT
swissdial,8827,"sie büten, wia zum bispiel d familia flückiger in ursabach, a eifachi zwüschaverpflegig ah.",ch_gr,OT
swissdial,10536,in mehrera zitiga im aargau hen dia verantwortlicha fum projekt inserat für ds elektronischa patientadossier gschaltet.,ch_gr,OT
swissdial,1633,ds srf begleitet ds nationalteam huutnoch dur d wm und zeigt exklusivi bilder vu da schwizer liachtathletinna und liachtathelta.,ch_gr,OT
d1248-u3004,VPet1248,beschtandeni männer ggsii won ich persönlech kain kontakt gha ha,AG (Baden/Brugg),OT
swissdial,2132,"es git voschideni gründ, wieso öper in administrativhaft cha cho.",ch_sg,OT
d1163-u366,CJea1295,und denn het me aber,AG (Buchs/Zofingen),OT
d1205-u1276,NThe1205,jo also d wonig hämmer im zwaite schtok obe gcha im erschte schtok hämmer damals no de saal gcha und im,SH (Ramsen),OT
d1073-u1360,CJea1295,do si d chinder derbii gsìì vo öis wen ich dunde ha mǜse sii,AG (Buchs/Zofingen),OT
swissdial,8574,russland het regelrecht vu dr spielwis vu da schwizerinna überrasht worda z sii gschiint.,ch_gr,OT
d1207-u1333,FKon1207,nǜd esùù,GL (Näfels),OT
swissdial,716,"wasserinsekte wie ruggeschwimmer, teichläufer und chlini libellelarve siedled sich vo selber ah.",ch_sg,OT
swissdial,2319,"z'auto mit denu beidu het mu ine mississippi gstossu, wa beidi ertrüchu sind.",ch_vs,OT
swissdial,1341,luut bricht vu dr uno hend vieli menscha kuum gnuag zum überleba.,ch_gr,OT
swissdial,448,"döt will er sich einersiits zur verfüagig stella, zum gottes volk z verfluacha.",ch_gr,OT
d1259-u2209,MEdu1259,und hindä ä fädäre,AG (Full-Reuenthal),OT
d1205-u1324,NThe1205,de,SH (Ramsen),OT
d1207-u702,FKon1207,isch immer es,GL (Näfels),OT
swissdial,1429,die politik vam iwf mit sparüflage und privatisierige hent teilwis gar en kontraproduktivi wirkig uf die länder ka.,ch_vs,OT
d1212-u62,MHan1212,kontakt mit de lite öü nach gchää wo di verwante und soo,VS (Naters),OT
d1063-u1449,HEll1063,nie hämmer öppis gmacht dasch wòòr,AG (Baden),OT
swissdial,1889,am sonntig vell sonneschin met wenig wolche.,ch_ag,OT
d1295-u277,CJea1295,aifach irgendwie d darschtellig vo de schwiiz het mi,AG (Buchs/Zofingen),OT
swissdial,2746,ere mah do verstoht sis handwärch.,ch_ag,OT
swissdial,8080,im königrich württemberg wird a amnestie für dia demokratischa revolutionär vu 1848 erloh.,ch_gr,OT
d1248-u1785,VPet1248,jo was so gää hät suure moscht nai süässmoscht glaub,AG (Baden/Brugg),OT
swissdial,9111,"hüfig gnennt worda isch am mentigobig in solothurn, dass es eifacher und unbürokratischer werda müassi, sich um fördergelder z bewerba.",ch_gr,OT
d1073-u336,CJea1295,aber i ha gwüsst wi das ìsch wen de vatter furt goot,AG (Buchs/Zofingen),OT
swissdial,4132,"ds stuck isch dr letschti satz vunara suite mit am titel ""gesprochene musik"".",ch_gr,OT
swissdial,1191,chalt im oste und warm im weste das dwettervorussag für de samstig nomi.,ch_sg,OT
d1063-u513,HEll1063,aber esoo ììch ha si gèèrn ghaa die jùdechind,AG (Baden),OT
swissdial,257,"grad au, wills döt uf kliinem ruum vieli spezialista gäbi, wo sich uustuschen, wia sus kuum uf dr welt.",ch_gr,OT
d1147-u1379,HJak1147,nìd zùm säge,AG (Baden),OT
d1007-u80,EJos1007,nur es jaar jinger as iich di anderi isch ez,NW (Stans),OT
d1255-u67,GAlo1255,das het mer de immer inne ta vorer bevor as dr winter cho isch,UR (Göschener Alp),OT
d1295-u1246,CJea1295,hingäge di andere,AG (Buchs/Zofingen),OT
swissdial,1623,dr offensivspieler blüaht bim vfb stuttgart so richtig uuf und het au am wuchanend geg ex-klub hoffenheim troffa.,ch_gr,OT
d1248-u928,VPet1248,vorberaitig gee,AG (Baden/Brugg),OT
d1075-u100,CJea1295,wol äu immene männerchoor mitgmacht wos nò anderi,AG (Buchs/Zofingen),OT
d1248-u216,VPet1248,uusbouä und und säb wasser,AG (Baden/Brugg),OT
d1205-u1615,NThe1205,und we men echli vororientierig gchaa hät hät me sich natürli scho z rächt gfunde,SH (Ramsen),OT
d1248-u347,VPet1248,wenn,AG (Baden/Brugg),OT
d1147-u1628,HJak1147,ane frèmds flùgzüüg hèreflüüge,AG (Baden),OT
swissdial,487,a figur us am fil cube isch noch am gfängnis benannt.,ch_gr,OT
d1212-u541,MHan1212,mer hèt ja die liit alli känt,VS (Naters),OT
d1259-u295,MEdu1259,und de hitler hät denä gseit wänn mir,AG (Full-Reuenthal),OT
d1198_1-u598,TJos1198,jòò nattüürli,SG (Brütten ZH/Zuozwil),OT
swissdial,703,allerdengs send grad eukalyptus-bäum a regelmässigs für apasst.,ch_ag,OT
swissdial,110,"es esch d'angscht foreme domino-effekt, wo de balkna weder e gwalt loht loh versenke.",ch_ag,OT
d1075-u701,CJea1295,dò häm mìr en ainzigi ussnaam ghaa das ìsch e phianischt gsìì,AG (Buchs/Zofingen),OT
d1259-u364,MEdu1259,arbaiter als wo die hät wo nid,AG (Full-Reuenthal),OT
d1163-u2478,CJea1295,als junge als junge lütnant,AG (Buchs/Zofingen),OT
d1198_1-u1431,TJos1198,dò muesch ales nòmòl naü aafange,SG (Brütten ZH/Zuozwil),OT
swissdial,328,"am zischtig, donnschtig und am samschtig isch wuchemarkt uf em wiener platz.",ch_sg,OT
swissdial,7351,dia entwertig isch meistens schliichend über johrzehnt oder johrhunder verloffa.,ch_gr,OT
d1198_1-u160,TJos1198,isch mer halt nòmòl uf s welo ghòket,SG (Brütten ZH/Zuozwil),OT
d1255-u134,GAlo1255,wemmer vom morget em füüfi bis am aabed am achti ghoojet hend,UR (Göschener Alp),OT
d1205-u923,NThe1205,wänn irgendaine sich politisch gäge de hitler ufglänt hönd isch äifach am andere tag,SH (Ramsen),OT
d1212-u706,MHan1212,säg ìch ìmmer di sind ja mir rächt alli aber di diend zvil verdienä,VS (Naters),OT
swissdial,1190,im norde bringt es tüfdruckgebiet schlechts wetter.,ch_sg,OT
swissdial,10137,"zu sina bevorzugta wanderziel ghört d zentralschwiiz und d ostschwiiz mit em alpstei, am rätikon und am engadin.",ch_gr,OT
swissdial,5731,"drfür hen sie d schläger gsammlet, wo da kanadier kaputt ganga gsi sind und hen drmit gspielt.",ch_gr,OT
d1207-u620,FKon1207,dän wiird de scho al lüüt versegglet d jude,GL (Näfels),OT
d1198_1-u195,TJos1198,gsii mini mueter isch tüüff religiöös gsii,SG (Brütten ZH/Zuozwil),OT
d1259-u1842,MEdu1259,total nid,AG (Full-Reuenthal),OT
d1048-u512,WRos1048,äu ja de,GL (Enneda),OT
d1007-u893,EJos1007,ja d maitschi sind scho wäret em chrieg ja choo aber,NW (Stans),OT
d1147-u631,HJak1147,de schode de händs den au usegheit nìd,AG (Baden),OT
d1163-u2927,CJea1295,und und das isch verwärtet worde und de so bin i öppe zää joor lang,AG (Buchs/Zofingen),OT
swissdial,6596,sit 1992 spielt er als soloflötist im bayreuther festspielorchester.,ch_gr,OT
swissdial,8560,"i han a reis hinter miar, wo schwierigi, aber au spannendi projekt beinhaltet het.",ch_gr,OT
swissdial,180,"mit inschtallatione wie bärgbahne, aber öi dum üsbau va wanderwäga.",ch_vs,OT
d1205-u179,NThe1205,grüeft hät füürer befiil wir folgen dir,SH (Ramsen),OT
swissdial,1472,de chef fo läderach esch ofgrond fo sinere chreschtleche öberzügig als frauefeindlech ond homophob bezeichnet worde.,ch_ag,OT
d1163-u530,CJea1295,jo fasch e chli glächlät innerlech,AG (Buchs/Zofingen),OT
d1248-u1913,VPet1248,jo ich müäss enä wäg em zuetraue scho no öppis säge,AG (Baden/Brugg),OT
d1147-u1270,HJak1147,ùnd z nacht,AG (Baden),OT
d1240-u416,RLin1240,das i nit nit in groosen ängscht gsi bin,GR (Davos/Chur/ZH-Wittikon),OT
d1259-u955,MEdu1259,was isch äs dänn nid s leschääre i de wälsch nid,AG (Full-Reuenthal),OT
d1048-u327,WRos1048,ùnd sind dän lang det hinde gsìì,GL (Enneda),OT
d1295-u1637,CJea1295,in russland händ sii öis ggsait,AG (Buchs/Zofingen),OT
swissdial,931,deep speech kann als sogenannti sproch-zu-text-engine gsprochenes in echtziit in text konvertiara.,ch_gr,OT
swissdial,1218,aber au die deckschte wolche ziehnd dene meh ond meh wäg.,ch_ag,OT
d1248-u1412,VPet1248,hervooragend widrgee,AG (Baden/Brugg),OT
d1073-u643,CJea1295,es isch,AG (Buchs/Zofingen),OT
swissdial,1619,im stream in dr sport app sind sie ebafalls live drbii.,ch_gr,OT
swissdial,2719,"wer sin fuess onbätte of eusi insle duet, esch tot.",ch_ag,OT
d1205-u853,NThe1205,hät halt en huufe jude gcha wo da nöd fürwor gcha hönd,SH (Ramsen),OT
d1295-u486,CJea1295,mit äm mit em ässe,AG (Buchs/Zofingen),OT
d1198_1-u888,TJos1198,jò vòr alem i de jòòre,SG (Brütten ZH/Zuozwil),OT
d1048-u1041,WRos1048,a jedem läibetüürli häig er müese halte,GL (Enneda),OT
d1073-u1643,CJea1295,döört ìsch aso s vertroue doo gsìì,AG (Buchs/Zofingen),OT
d1048-u116,WRos1048,na hät er dä das schriiben ufgsezt und hät daas dän anepracht hät a jedem,GL (Enneda),OT
swissdial,2361,im wird fälschlicherwiis nohgseit dass er ein raubritter gsi isch.,ch_sg,OT
swissdial,6703,november 2014 sind 61 menscha opfer vunem selbstmordattatäter worda.,ch_gr,OT
d1207-u1580,FKon1207,köschtli wa,GL (Näfels),OT
d1248-u987,VPet1248,diä gfoor wo vo tütschland ko isch diä hätme fascht füüsisch gschpürt,AG (Baden/Brugg),OT
swissdial,2089,ofem dach fode alte dorfschuel gad näbem hof wett d'swisscom e 5g-antenne instaliere.,ch_ag,OT
swissdial,3961,am kloss sin grossvater und vater sind lehrer und au dr erich kloss het de bruafsweg iigschlaga.,ch_gr,OT
d1007-u491,EJos1007,de sch de eppe alig verbiigloffen und eppe so gluegt,NW (Stans),OT
d1147-u668,HJak1147,han iich müesse im ziilfèrnroor de gegner,AG (Baden),OT
swissdial,4793,musikalisch dörf d karriera vum vielsiitiga musiker gern no lang wiitergoh.,ch_gr,OT
d1163-u2972,CJea1295,andertails lütselig gsii,AG (Buchs/Zofingen),OT
d1198_1-u1367,TJos1198,hèt üs aifach aagschpròche he,SG (Brütten ZH/Zuozwil),OT
d1248-u2006,VPet1248,badä wär natüürlich furchtbaar dra choo,AG (Baden/Brugg),OT
d1205-u1397,NThe1205,vo hitlertüütschland,SH (Ramsen),OT
d1163-u2315,CJea1295,hät gsait er haig aifach,AG (Buchs/Zofingen),OT
swissdial,395,"es cha zu übelkeit, erbreche und im schlimmschte fall zu erhebliche hirnschäde füehre.",ch_sg,OT
d1259-u638,MEdu1259,isch dänn je länger we mee we mee dass da dar äne,AG (Full-Reuenthal),OT
swissdial,443,schnäll escher edie damolig volksszene integriert worde ond zomene bekannte fengerpickig-gitarrescht worde.,ch_ag,OT
swissdial,56,di penny betrachtut das als en glungne witz und lacht der barris üs.,ch_vs,OT
swissdial,507,dia hend d entwicklet vu philips ständig in ihrem portemonnaie.,ch_gr,OT
d1259-u162,MEdu1259,und eses da nit,AG (Full-Reuenthal),OT
d1212-u549,MHan1212,nei di ìsch di hèt me uf es aaformaat hèt mer die alli,VS (Naters),OT
swissdial,8488,keystone freshfocus. ab am fritig suacht afrika sin kontinentalmeister.,ch_gr,OT
swissdial,2339,"während de gfangeschaft het er regellmässig fuessball gspillt, aber nur uf sand.",ch_sg,OT
d1198_1-u844,TJos1198,und dòò isch au wider,SG (Brütten ZH/Zuozwil),OT
d1053-u1827,OJos1053,i der rekruiteschuel gsi da hät men,NW (Wolfenschiessen),OT
swissdial,1841,"sehr windig mit schneerägufäll, iner nacht gletti!",ch_vs,OT
d1207-u1785,FKon1207,leerer vo felsbärg,GL (Näfels),OT
d1163-u212,CJea1295,und mi mueter het daas irgend emool imenen inseraat,AG (Buchs/Zofingen),OT
swissdial,1209,"es isch optimals bergwetter, viel sunnaschii und eba wolkalos.",ch_gr,OT
d1063-u274,HEll1063,ìsch da nìd s aidgenö̀ssisch ggsii z wiifälde ìch glaub es nööd das s aargauisch ggsii alemaa,AG (Baden),OT
swissdial,1855,"am mäntig oft bewölkt, ab und zue sunnig, einzelni schauer.",ch_sg,OT
d1048-u1104,WRos1048,wù d schwiiz gschǜzt häig,GL (Enneda),OT
d1073-u843,CJea1295,und das häi mir mitenander gschpììlt und häi äigentlich zwüschenììne das ìsch den häuptsächlich wo miir militäär ghaa häi,AG (Buchs/Zofingen),OT
d1075-u845,CJea1295,aaber ùnd durch daas hèt me wirgglìch s gfüül ghaa das boot ìsch vol,AG (Buchs/Zofingen),OT
swissdial,498,hitu steit z'bauwärch uner dänkmalschutz und verfiegt uber en fahrbahn mit beidsitige trottoir.,ch_vs,OT
